us diff,GForcesX_1,GForcesY_1,GForcesZ_1,Temp1,GForcesX_2,GForcesY_2,GForcesZ_2,Temp2
1958,-1.145996,0.935547,1.375244,23.027060,-1.044678,-0.000000,1.338867,24.768236
2880,-1.145508,0.935059,1.386475,23.027060,-1.052490,-0.000000,1.318115,24.768236
1848,-1.142822,0.936279,1.388184,23.074118,-1.044434,-0.053955,1.327637,24.862352
1945,-1.141113,0.946045,1.381836,23.027060,-1.052490,-0.094238,1.318604,24.815294
1818,-1.155273,0.940430,1.379639,22.980000,-1.047607,-0.000000,1.332031,24.815294
1887,-1.141602,0.947266,1.385010,23.074118,-1.031738,-0.000000,1.327881,24.768236
1884,-1.144287,0.944580,1.384521,23.074118,-1.047607,-0.188232,1.323975,24.909412
1865,-1.142090,0.943359,1.384521,23.685883,-1.043213,-0.279785,1.325195,24.815294
1850,-1.146484,0.934570,1.380371,23.074118,-1.045898,-0.254395,1.325439,24.768236
2560,-1.146240,0.937988,1.378906,22.227058,-1.052002,-0.354492,1.329346,24.815294
2047,-1.143066,0.938232,1.391357,23.074118,-1.056641,-0.230713,1.331055,24.815294
2879,-1.144043,0.942871,1.376465,22.227058,-1.044189,-0.005615,1.332275,24.815294
1854,-1.144531,0.946777,1.393066,23.121176,-1.046387,-0.129150,1.329346,24.815294
2224,-1.145508,0.938232,1.389404,23.074118,-1.050049,-0.145264,1.322510,24.768236
1880,-1.145996,0.935059,1.387451,23.074118,-1.051758,-0.254883,1.324951,24.768236
1887,-1.143066,0.935547,1.380615,23.027060,-1.053467,-0.262207,1.331787,24.862352
2318,-1.149658,0.944092,1.386719,23.074118,-1.057129,-0.162354,1.323975,24.768236
1906,-1.147461,0.941162,1.380371,23.074118,-1.053467,-0.129883,1.330078,24.721176
2182,-1.147461,0.944092,1.382080,23.685883,-1.047363,-0.117676,1.322021,24.815294
1850,-1.152100,0.942139,1.381348,23.074118,-1.044189,-0.210693,1.331055,24.721176
2514,-1.145264,0.939209,1.388916,23.074118,-1.048340,-0.084961,1.334717,24.815294
10556,-1.142090,0.942871,1.392090,22.980000,-1.049805,-0.231689,1.323486,24.862352
1890,-1.144531,0.938721,1.387939,22.227058,-1.161865,-0.047607,1.287598,24.768236
1966,-1.151123,0.945068,1.381104,23.027060,-1.140625,-0.098633,1.312988,24.768236
2007,-1.143799,0.936035,1.386230,23.168236,-1.202881,-0.176514,1.336670,24.862352
2181,-1.139648,0.938232,1.391602,23.121176,-0.957031,-0.169922,1.333740,24.721176
1884,-1.146484,0.939941,1.388428,22.980000,-1.090820,-0.361328,1.318604,24.815294
1913,-1.143799,0.937500,1.390137,22.980000,-1.072510,-0.227783,1.313477,24.815294
1928,-1.148682,0.936523,1.378906,23.685883,-0.993652,-0.135254,1.358887,24.768236
2081,-1.150635,0.933350,1.393555,23.074118,-1.028320,-0.169434,1.359619,24.862352
2353,-1.151367,0.948486,1.382080,23.074118,-1.024170,-0.227539,1.315186,24.862352
1828,-1.146973,0.936768,1.389160,23.685883,-1.045654,-0.262207,1.297363,24.909412
2333,-1.137939,0.949707,1.387695,22.980000,-1.074951,-0.165283,1.320557,24.721176
1604,-1.142334,0.938721,1.384521,22.980000,-1.053955,-0.356689,1.352051,24.815294
1529,-1.143799,0.935059,1.382812,23.074118,-1.094971,-0.117920,1.332031,24.815294
3604,-1.151367,0.945068,1.388916,23.027060,-1.083496,-0.090332,1.340820,24.862352
1979,-1.148926,0.941406,1.386475,23.027060,-1.067383,-0.000000,1.343994,24.815294
4718,-1.147705,0.953125,1.384277,22.227058,-1.074951,-0.000000,1.286377,24.909412
2134,-1.145752,0.940918,1.376221,22.980000,-1.050537,-0.000000,1.310791,25.003531
2798,-1.142822,0.940918,1.385498,23.685883,-1.079102,-0.046143,1.313232,25.097647
1947,-1.139893,0.948242,1.378662,22.980000,-1.075439,-0.236572,1.296387,25.144707
2882,-1.138184,0.932617,1.373291,22.980000,-1.069580,-0.129395,1.292969,25.191765
1867,-1.142334,0.943604,1.381592,22.227058,-1.033691,-0.000000,1.307617,25.191765
2005,-1.151855,0.942871,1.386719,23.027060,-1.053223,-0.111816,1.308594,25.238823
1872,-1.155762,0.944336,1.391602,23.074118,-1.101318,-0.000000,1.311035,25.380001
1962,-1.153564,0.928955,1.384521,23.027060,-1.080811,-0.077881,1.288574,25.380001
2453,-1.151123,0.939453,1.386230,23.168236,-1.053955,-0.047607,1.302490,25.474117
10085,-1.142334,0.940186,1.387451,23.027060,-1.001953,-0.011719,1.300537,25.521177
1873,-1.147217,0.942383,1.381104,23.027060,-1.036621,-0.001221,1.294189,25.662354
1948,-1.146240,0.938477,1.392822,22.980000,-1.052246,-0.009277,1.302490,25.709412
2494,-1.145020,0.938965,1.389648,23.074118,-1.064941,-0.000000,1.297607,25.756472
1850,-1.147461,0.940430,1.388672,23.074118,-1.071533,-0.009521,1.310547,25.756472
2332,-1.143799,0.934570,1.387207,23.074118,-1.063721,-0.000000,1.325928,25.709412
1820,-1.150635,0.937988,1.374756,23.685883,-1.040771,-0.000000,1.310791,25.850588
1869,-1.147461,0.936768,1.387207,23.027060,-1.042236,-0.000000,1.283936,25.991764
1533,-1.147461,0.940918,1.383789,23.168236,-1.043945,-0.000000,1.304199,26.038824
1610,-1.144043,0.941406,1.375244,23.168236,-1.052979,-0.000000,1.290771,26.038824
1683,-1.143555,0.942383,1.377686,23.074118,-1.051514,-0.000000,1.298584,26.180000
1829,-1.143555,0.937500,1.387695,22.980000,-1.036621,-0.000000,1.292969,26.227058
1837,-1.144287,0.943115,1.379395,23.685883,-1.069824,-0.000000,1.312744,26.274118
3188,-1.145996,0.941162,1.384033,23.027060,-1.062744,-0.000000,1.312500,26.321177
2792,-1.145508,0.941162,1.384277,23.074118,-1.039062,-0.015625,1.298584,26.415295
2213,-1.148193,0.939697,1.386963,23.074118,-1.058350,-0.041260,1.305176,26.368235
1886,-1.140137,0.942383,1.386963,22.932941,-1.070801,-0.087891,1.304443,26.462353
2734,-1.137451,0.942871,1.389893,23.074118,-1.058350,-0.006836,1.324463,26.509413
